# Wavelength(nm)	Intensity(Rayleigh)	v'	v''	Substate	J'	J''
1057.3143	2.2259e-06	9	5	1	13.5	13.5
1016.7910	9.4697e-05	9	5	1	13.5	12.5
1116.9377	1.2896e-05	9	5	2	13.5	14.5
1066.0855	7.6923e-08	9	5	2	13.5	13.5
1022.3626	7.0953e-06	9	5	2	13.5	12.5
1117.7276	1.8088e-05	9	5	1	14.5	15.5
1066.6090	2.0636e-07	9	5	1	14.5	14.5
1022.6376	9.9596e-06	9	5	1	14.5	13.5
1131.3526	1.2321e-06	9	5	2	14.5	15.5
1076.2724	6.5392e-09	9	5	2	14.5	14.5
1028.9773	6.5771e-07	9	5	2	14.5	13.5
1076.7815	1.6895e-08	9	5	1	15.5	15.5
1029.2600	9.0685e-07	9	5	1	15.5	14.5
1087.3883	5.0510e-10	9	5	2	15.5	15.5
1036.4093	5.2966e-08	9	5	2	15.5	14.5
619.4650	7.2881e-01	5	0	2	0.5	1.5
617.1235	3.7616e-01	5	0	2	0.5	0.5
620.4436	2.3846e+00	5	0	1	1.5	2.5
617.2346	3.2192e+00	5	0	1	1.5	1.5
621.4777	9.2536e-01	5	0	2	1.5	2.5
617.5902	9.9146e-02	5	0	2	1.5	1.5
615.2628	4.6268e-01	5	0	2	1.5	0.5
622.3492	2.5041e+00	5	0	1	2.5	3.5
617.7996	1.1976e+00	5	0	1	2.5	2.5
614.6177	1.3065e+00	5	0	1	2.5	1.5
623.7739	7.4609e-01	5	0	2	2.5	3.5
618.3561	5.5266e-02	5	0	2	2.5	2.5
614.5075	4.6976e-01	5	0	2	2.5	1.5
624.5369	1.8050e+00	5	0	1	3.5	4.5
618.6119	4.3319e-01	5	0	1	3.5	3.5
614.1165	1.0830e+00	5	0	1	3.5	2.5
626.3489	4.2510e-01	5	0	2	3.5	4.5
619.4110	1.6350e-02	5	0	2	3.5	3.5
614.0684	2.7795e-01	5	0	2	3.5	2.5
627.0138	9.1496e-01	5	0	1	4.5	5.5
619.6821	1.0980e-01	5	0	1	4.5	4.5
613.8484	5.8557e-01	5	0	1	4.5	3.5
629.2034	1.8849e-01	5	0	2	4.5	5.5
620.7483	7.2497e-03	5	0	2	4.5	4.5
613.9333	1.2325e-01	5	0	2	4.5	3.5
629.7847	3.6261e-01	5	0	1	5.5	6.5
621.0181	2.9009e-02	5	0	1	5.5	5.5
613.8252	2.3207e-01	5	0	1	5.5	4.5
632.3422	6.1914e-02	5	0	2	5.5	6.5
622.3653	2.4766e-03	5	0	2	5.5	5.5
614.0918	3.9625e-02	5	0	2	5.5	4.5
632.8539	1.0919e-01	5	0	1	6.5	7.5
622.6258	4.5495e-03	5	0	1	6.5	6.5
614.0560	6.8242e-02	5	0	1	6.5	5.5
635.7716	1.5901e-02	5	0	2	6.5	7.5
614.5370	9.9383e-03	5	0	2	6.5	5.5
636.2260	2.6183e-02	5	0	1	7.5	8.5
624.5103	1.1384e-03	5	0	1	7.5	7.5
614.5480	1.5937e-02	5	0	1	7.5	6.5
639.4992	3.2284e-03	5	0	2	7.5	8.5
615.2654	1.8247e-03	5	0	2	7.5	6.5
639.9063	5.0286e-03	5	0	1	8.5	9.5
626.6765	2.2857e-04	5	0	1	8.5	8.5
615.3067	2.9715e-03	5	0	1	8.5	7.5
643.5333	5.2240e-04	5	0	2	8.5	9.5
616.2762	2.8495e-04	5	0	2	8.5	7.5
643.9013	8.1424e-04	5	0	1	9.5	10.5
629.1297	3.7011e-05	5	0	1	9.5	9.5
616.3372	4.4413e-04	5	0	1	9.5	8.5
647.8827	6.4593e-05	5	0	2	9.5	10.5
617.5705	3.2297e-05	5	0	2	9.5	8.5
648.2183	9.7085e-05	5	0	1	10.5	11.5
617.6442	4.8542e-05	5	0	1	10.5	9.5
652.5572	6.3948e-06	5	0	2	10.5	11.5
619.1507	3.1974e-06	5	0	2	10.5	9.5
652.8655	9.3224e-06	5	0	1	11.5	12.5
619.2326	4.1433e-06	5	0	1	11.5	10.5
657.5671	5.0848e-07	5	0	2	11.5	12.5
621.0206	2.2246e-07	5	0	2	11.5	10.5
657.8524	7.2225e-07	5	0	1	12.5	13.5
621.1076	3.1599e-07	5	0	1	12.5	11.5
662.9238	3.2532e-08	5	0	2	12.5	13.5
623.1849	1.1619e-08	5	0	2	12.5	11.5
663.1897	4.5191e-08	5	0	1	13.5	14.5
623.2751	1.6140e-08	5	0	1	13.5	12.5
668.6395	1.6751e-09	5	0	2	13.5	14.5
625.6495	4.1878e-10	5	0	2	13.5	12.5
668.8888	2.2824e-09	5	0	1	14.5	15.5
625.7414	5.7060e-10	5	0	1	14.5	13.5
674.7278	6.9242e-11	5	0	2	14.5	15.5
628.4207	1.3848e-11	5	0	2	14.5	13.5
628.5136	1.8554e-11	5	0	1	15.5	14.5
631.5064	2.8505e-13	5	0	2	15.5	14.5
652.4227	5.2270e-01	6	1	2	0.5	1.5
649.9322	2.4683e-01	6	1	2	0.5	0.5
653.4848	1.7000e+00	6	1	1	1.5	2.5
650.0525	2.2173e+00	6	1	1	1.5	1.5
654.5830	7.0611e-01	6	1	2	1.5	2.5
650.4455	8.3072e-02	6	1	2	1.5	1.5
647.9700	3.1152e-01	6	1	2	1.5	0.5
655.5427	1.9310e+00	6	1	1	2.5	3.5
650.6792	8.2757e-01	6	1	1	2.5	2.5
647.2762	8.2757e-01	6	1	1	2.5	1.5
657.0594	6.0751e-01	6	1	2	2.5	3.5
651.2893	3.5736e-02	6	1	2	2.5	2.5
647.1933	3.0375e-01	6	1	2	2.5	1.5
657.9101	1.4621e+00	6	1	1	3.5	4.5
651.5791	2.8298e-01	6	1	1	3.5	3.5
646.7740	7.0745e-01	6	1	1	3.5	2.5
659.8465	3.7390e-01	6	1	2	3.5	4.5
652.4532	1.0997e-02	6	1	2	3.5	3.5
646.7634	1.8695e-01	6	1	2	3.5	2.5
660.5959	7.9653e-01	6	1	1	4.5	5.5
652.7636	9.9567e-02	6	1	1	4.5	4.5
646.5308	3.9827e-01	6	1	1	4.5	3.5
662.9455	1.7940e-01	6	1	2	4.5	5.5
653.9304	5.1257e-03	6	1	2	4.5	4.5
646.6683	8.2011e-02	6	1	2	4.5	3.5
663.6062	3.4226e-01	6	1	1	5.5	6.5
654.2419	3.1114e-02	6	1	1	5.5	5.5
646.5588	1.5557e-01	6	1	1	5.5	4.5
666.3610	6.5087e-02	6	1	2	5.5	6.5
655.7183	1.8596e-03	6	1	2	5.5	5.5
646.8974	2.7895e-02	6	1	2	5.5	4.5
666.9467	1.1744e-01	6	1	1	6.5	7.5
656.0209	6.9083e-03	6	1	1	6.5	6.5
646.8681	5.1812e-02	6	1	1	6.5	5.5
670.1006	1.8682e-02	6	1	2	6.5	7.5
647.4439	7.4729e-03	6	1	2	6.5	5.5
670.6236	3.2441e-02	6	1	1	7.5	8.5
658.1071	9.2688e-04	6	1	1	7.5	7.5
647.4666	1.2049e-02	6	1	1	7.5	6.5
674.1727	4.4120e-03	6	1	2	7.5	8.5
648.3048	1.5932e-03	6	1	2	7.5	6.5
674.6436	7.0556e-03	6	1	1	8.5	9.5
660.5063	2.0159e-04	6	1	1	8.5	8.5
648.3612	2.4191e-03	6	1	1	8.5	7.5
678.5873	8.1707e-04	6	1	2	8.5	9.5
649.4795	2.4966e-04	6	1	2	8.5	7.5
679.0147	1.2856e-03	6	1	1	9.5	10.5
663.2253	3.5712e-05	6	1	1	9.5	9.5
649.5577	3.9283e-04	6	1	1	9.5	8.5
683.3551	1.2288e-04	6	1	2	9.5	10.5
650.9699	3.4134e-05	6	1	2	9.5	8.5
683.7459	1.8634e-04	6	1	1	10.5	11.5
666.2710	5.1762e-06	6	1	1	10.5	10.5
651.0621	5.1762e-05	6	1	1	10.5	9.5
688.4877	1.5097e-05	6	1	2	10.5	11.5
652.7795	3.7743e-06	6	1	2	10.5	9.5
688.8478	2.2193e-05	6	1	1	11.5	12.5
652.8806	4.9318e-06	6	1	1	11.5	10.5
693.9981	1.5659e-06	6	1	2	11.5	12.5
654.9134	2.9624e-07	6	1	2	11.5	10.5
694.3321	2.1810e-06	6	1	1	12.5	13.5
655.0199	4.2409e-07	6	1	1	12.5	11.5
699.9002	1.3047e-07	6	1	2	12.5	13.5
657.3778	2.1157e-08	6	1	2	12.5	11.5
700.2120	1.7763e-07	6	1	1	13.5	14.5
657.4874	2.9605e-08	6	1	1	13.5	12.5
706.2095	9.0214e-09	6	1	2	13.5	14.5
660.1803	1.2191e-09	6	1	2	13.5	12.5
706.5022	1.2376e-08	6	1	1	14.5	15.5
660.2915	1.6725e-09	6	1	1	14.5	13.5
712.9428	5.2030e-10	6	1	2	14.5	15.5
663.3296	5.6249e-11	6	1	2	14.5	13.5
663.4413	7.5845e-11	6	1	1	15.5	14.5
666.8355	2.0398e-12	6	1	2	15.5	14.5
689.1189	1.1020e+00	7	2	2	0.5	1.5
686.4573	5.3263e-01	7	2	2	0.5	0.5
690.2737	3.5644e+00	7	2	1	1.5	2.5
686.5849	4.7369e+00	7	2	1	1.5	1.5
691.4530	1.5106e+00	7	2	2	1.5	2.5
687.0287	1.7379e-01	7	2	2	1.5	1.5
684.3833	6.9516e-01	7	2	2	1.5	0.5
692.5130	4.2054e+00	7	2	1	2.5	3.5
687.2890	1.8343e+00	7	2	1	2.5	2.5
683.6319	1.8790e+00	7	2	1	2.5	1.5
694.1435	1.3379e+00	7	2	2	2.5	3.5
687.9694	7.1038e-02	7	2	2	2.5	2.5
683.5894	7.1038e-01	7	2	2	2.5	1.5
695.0961	3.2521e+00	7	2	1	3.5	4.5
688.2983	6.9462e-01	7	2	1	3.5	3.5
683.1375	1.6734e+00	7	2	1	3.5	2.5
697.1852	8.6461e-01	7	2	2	3.5	4.5
689.2688	3.0337e-02	7	2	2	3.5	3.5
683.1807	4.6264e-01	7	2	2	3.5	2.5
698.0338	1.8754e+00	7	2	1	4.5	5.5
689.6260	2.2574e-01	7	2	1	4.5	4.5
682.9343	9.8977e-01	7	2	1	4.5	3.5
700.5789	4.3513e-01	7	2	2	4.5	5.5
690.9204	1.1157e-02	7	2	2	4.5	4.5
683.1449	2.2314e-01	7	2	2	4.5	3.5
701.3344	8.6043e-01	7	2	1	5.5	6.5
691.2823	6.8530e-02	7	2	1	5.5	5.5
683.0354	4.3402e-01	7	2	1	5.5	4.5
704.3304	1.7215e-01	7	2	2	5.5	6.5
692.9217	2.8692e-03	7	2	2	5.5	5.5
683.4717	8.3206e-02	7	2	2	5.5	4.5
705.0054	3.1542e-01	7	2	1	6.5	7.5
693.2760	1.6175e-02	7	2	1	6.5	6.5
683.4520	1.5097e-01	7	2	1	6.5	5.5
708.4479	5.4413e-02	7	2	2	6.5	7.5
695.2740	8.8477e-04	7	2	2	6.5	6.5
684.1545	2.4331e-02	7	2	2	6.5	5.5
709.0549	9.4005e-02	7	2	1	7.5	8.5
695.6150	3.8845e-03	7	2	1	7.5	7.5
684.1934	4.1953e-02	7	2	1	7.5	6.5
712.9420	1.3892e-02	7	2	2	7.5	8.5
697.9817	2.2052e-04	7	2	2	7.5	7.5
685.1907	5.8437e-03	7	2	2	7.5	6.5
713.4916	2.2916e-02	7	2	1	8.5	9.5
698.3070	7.3332e-04	7	2	1	8.5	8.5
685.2677	9.5331e-03	7	2	1	8.5	7.5
717.8245	2.9114e-03	7	2	2	8.5	9.5
701.0510	2.2395e-05	7	2	2	8.5	8.5
686.5806	1.1198e-03	7	2	2	8.5	7.5
718.3259	4.5926e-03	7	2	1	9.5	10.5
701.3603	1.0681e-04	7	2	1	9.5	9.5
686.6823	1.7801e-03	7	2	1	9.5	8.5
723.1087	5.0014e-04	7	2	2	9.5	10.5
704.4903	3.7324e-06	7	2	2	9.5	9.5
688.3272	1.7915e-04	7	2	2	9.5	8.5
723.5694	7.6014e-04	7	2	1	10.5	11.5
704.7841	1.1431e-05	7	2	1	10.5	10.5
688.4448	2.7434e-04	7	2	1	10.5	9.5
728.8094	7.0855e-05	7	2	2	10.5	11.5
708.3092	5.1344e-07	7	2	2	10.5	10.5
690.4357	2.3618e-05	7	2	2	10.5	9.5
729.2357	1.0436e-04	7	2	1	11.5	12.5
708.5886	1.5235e-06	7	2	1	11.5	11.5
690.5634	3.4279e-05	7	2	1	11.5	10.5
734.9427	8.2655e-06	7	2	2	11.5	12.5
712.5192	5.8620e-08	7	2	2	11.5	11.5
692.9130	2.5207e-06	7	2	2	11.5	10.5
735.3397	1.1852e-05	7	2	1	12.5	13.5
712.7854	1.6931e-07	7	2	1	12.5	12.5
693.0468	3.6402e-06	7	2	1	12.5	11.5
741.5266	8.0966e-07	7	2	2	12.5	13.5
717.1332	5.5839e-09	7	2	2	12.5	12.5
695.7676	2.2894e-07	7	2	2	12.5	11.5
741.8987	1.1345e-06	7	2	1	13.5	14.5
717.3875	1.5757e-08	7	2	1	13.5	13.5
695.9049	3.1515e-07	7	2	1	13.5	12.5
748.5811	6.6016e-08	7	2	2	13.5	14.5
722.1658	4.4605e-10	7	2	2	13.5	13.5
699.0096	1.6950e-08	7	2	2	13.5	12.5
748.9318	9.1285e-08	7	2	1	14.5	15.5
722.4093	6.1679e-10	7	2	1	14.5	14.5
699.1488	2.3438e-08	7	2	1	14.5	13.5
756.1281	4.5353e-09	7	2	2	14.5	15.5
727.6333	3.0035e-11	7	2	2	14.5	14.5
702.6510	1.0813e-09	7	2	2	14.5	13.5
727.8673	4.0805e-11	7	2	1	15.5	15.5
702.7909	1.4690e-09	7	2	1	15.5	14.5
733.5543	1.7137e-12	7	2	2	15.5	15.5
706.7053	5.8266e-11	7	2	2	15.5	14.5
730.5729	2.3020e+00	8	3	2	0.5	1.5
727.7112	1.1183e+00	8	3	2	0.5	0.5
731.8298	7.3999e+00	8	3	1	1.5	2.5
727.8410	1.0019e+01	8	3	1	1.5	1.5
733.1167	3.1740e+00	8	3	2	1.5	2.5
728.3569	3.6148e-01	8	3	2	1.5	1.5
725.5126	1.5341e+00	8	3	2	1.5	0.5
734.2907	8.8568e+00	8	3	1	2.5	3.5
728.6446	4.0123e+00	8	3	1	2.5	2.5
724.6903	4.1609e+00	8	3	1	2.5	1.5
736.0686	2.8475e+00	8	3	2	2.5	3.5
729.4214	1.6088e-01	8	3	2	2.5	2.5
724.7093	1.6168e+00	8	3	2	2.5	1.5
737.1396	6.9560e+00	8	3	1	3.5	4.5
729.7949	1.5602e+00	8	3	1	3.5	3.5
724.2175	3.9005e+00	8	3	1	3.5	2.5
739.4235	1.9060e+00	8	3	2	3.5	4.5
730.8946	6.4427e-02	8	3	2	3.5	3.5
724.3401	1.1114e+00	8	3	2	3.5	2.5
740.3897	4.1659e+00	8	3	1	4.5	5.5
731.3068	5.4716e-01	8	3	1	4.5	4.5
724.0774	2.4125e+00	8	3	1	4.5	3.5
743.1827	9.9582e-01	8	3	2	4.5	5.5
732.7699	2.4965e-02	8	3	2	4.5	4.5
724.3930	5.7142e-01	8	3	2	4.5	3.5
744.0521	1.9890e+00	8	3	1	5.5	6.5
733.1926	1.6671e-01	8	3	1	5.5	5.5
724.2843	1.1325e+00	8	3	1	5.5	4.5
747.3530	4.1486e-01	8	3	2	5.5	6.5
735.0454	7.9781e-03	8	3	2	5.5	5.5
724.8579	2.2909e-01	8	3	2	5.5	4.5
748.1369	7.6966e-01	8	3	1	6.5	7.5
735.4632	4.5529e-02	8	3	1	6.5	6.5
724.8512	4.2277e-01	8	3	1	6.5	5.5
751.9446	1.3965e-01	8	3	2	6.5	7.5
737.7236	2.2707e-03	8	3	2	6.5	6.5
725.7286	7.3796e-02	8	3	2	6.5	5.5
752.6550	2.4415e-01	8	3	1	7.5	8.5
738.1287	1.0089e-02	8	3	1	7.5	7.5
725.7889	1.2779e-01	8	3	1	7.5	6.5
756.9705	3.8499e-02	8	3	2	7.5	8.5
740.8103	5.1332e-04	8	3	2	7.5	7.5
727.0035	1.9198e-02	8	3	2	7.5	6.5
757.6181	6.3890e-02	8	3	1	8.5	9.5
741.1993	2.0721e-03	8	3	1	8.5	8.5
727.1077	3.1773e-02	8	3	1	8.5	7.5
762.4458	8.7183e-03	8	3	2	8.5	9.5
744.3142	9.1772e-05	8	3	2	8.5	8.5
728.6843	4.1068e-03	8	3	2	8.5	7.5
763.0402	1.3534e-02	8	3	1	9.5	10.5
744.6861	3.3189e-04	8	3	1	9.5	9.5
728.8171	6.3059e-03	8	3	1	9.5	8.5
768.3875	1.5990e-03	8	3	2	9.5	10.5
748.2463	1.2758e-05	8	3	2	9.5	9.5
730.7761	6.9745e-04	8	3	2	9.5	8.5
768.9368	2.4481e-03	8	3	1	10.5	11.5
748.6015	4.6067e-05	8	3	1	10.5	10.5
730.9274	1.0661e-03	8	3	1	10.5	9.5
774.8149	2.4930e-04	8	3	2	10.5	11.5
752.6199	1.9734e-06	8	3	2	10.5	10.5
733.2864	1.0196e-04	8	3	2	10.5	9.5
775.3258	3.7163e-04	8	3	1	11.5	12.5
752.9593	5.9146e-06	8	3	1	11.5	11.5
733.4495	1.5181e-04	8	3	1	11.5	10.5
781.7495	3.2613e-05	8	3	2	11.5	12.5
757.4502	2.5612e-07	8	3	2	11.5	11.5
736.2253	1.2465e-05	8	3	2	11.5	10.5
782.2277	4.7302e-05	8	3	1	12.5	13.5
757.7751	6.2240e-07	8	3	1	12.5	12.5
736.3957	1.7925e-05	8	3	1	12.5	11.5
789.2152	3.5896e-06	8	3	2	12.5	13.5
762.7552	1.8696e-08	8	3	2	12.5	12.5
739.6049	1.2713e-06	8	3	2	12.5	11.5
789.6656	5.0847e-06	8	3	1	13.5	14.5
763.0669	5.3243e-08	8	3	1	13.5	13.5
739.7797	1.7970e-06	8	3	1	13.5	12.5
797.2391	3.3421e-07	8	3	2	13.5	14.5
768.5548	1.7361e-09	8	3	2	13.5	13.5
743.4399	1.0938e-07	8	3	2	13.5	12.5
797.6656	4.6498e-07	8	3	1	14.5	15.5
768.8547	4.8435e-09	8	3	1	14.5	14.5
743.6171	1.5136e-07	8	3	1	14.5	13.5
805.8514	2.6530e-08	8	3	2	14.5	15.5
774.8720	1.3746e-10	8	3	2	14.5	14.5
747.7472	7.9726e-09	8	3	2	14.5	13.5
775.1614	2.8247e-10	8	3	1	15.5	15.5
747.9255	1.0922e-08	8	3	1	15.5	14.5
781.7327	9.3295e-12	8	3	2	15.5	15.5
752.5464	4.9913e-10	8	3	2	15.5	14.5
778.2572	3.1568e+00	9	4	2	0.5	1.5
775.1557	1.5429e+00	9	4	2	0.5	0.5
779.6256	1.0132e+01	9	4	1	1.5	2.5
775.2773	1.3853e+01	9	4	1	1.5	1.5
781.0616	4.4157e+00	9	4	2	1.5	2.5
775.8994	5.0056e-01	9	4	2	1.5	1.5
772.8167	2.1751e+00	9	4	2	1.5	0.5
782.3655	1.2333e+01	9	4	1	2.5	3.5
776.2131	5.7016e+00	9	4	1	2.5	2.5
771.9027	5.9038e+00	9	4	1	2.5	1.5
784.3423	4.0597e+00	9	4	2	2.5	3.5
777.1278	2.2430e-01	9	4	2	2.5	2.5
772.0174	2.3663e+00	9	4	2	2.5	1.5
785.5520	9.9760e+00	9	4	1	3.5	4.5
777.5510	2.2881e+00	9	4	1	3.5	3.5
771.4738	5.7660e+00	9	4	1	3.5	2.5
788.0950	2.8166e+00	9	4	2	3.5	4.5
778.8311	9.7662e-02	9	4	2	3.5	3.5
771.7171	1.6954e+00	9	4	2	3.5	2.5
789.2022	6.2151e+00	9	4	1	4.5	5.5
779.3080	8.3296e-01	9	4	1	4.5	4.5
771.4330	3.7163e+00	9	4	1	4.5	3.5
792.3223	1.5431e+00	9	4	2	4.5	5.5
781.0032	3.8365e-02	9	4	2	4.5	4.5
771.9043	9.1863e-01	9	4	2	4.5	3.5
793.3305	3.1127e+00	9	4	1	5.5	6.5
781.4997	2.6833e-01	9	4	1	5.5	5.5
771.7965	1.8426e+00	9	4	1	5.5	4.5
797.0328	6.8203e-01	9	4	2	5.5	6.5
783.6436	1.3098e-02	9	4	2	5.5	5.5
772.5693	3.9387e-01	9	4	2	5.5	4.5
797.9512	1.2778e+00	9	4	1	6.5	7.5
784.1398	7.7498e-02	9	4	1	6.5	6.5
772.5795	7.3533e-01	9	4	1	6.5	5.5
802.2398	2.4640e-01	9	4	2	6.5	7.5
786.7564	3.6926e-03	9	4	2	6.5	6.5
773.7074	1.3663e-01	9	4	2	6.5	5.5
803.0793	4.3495e-01	9	4	1	7.5	8.5
787.2420	1.8727e-02	9	4	1	7.5	7.5
773.7958	2.3983e-01	9	4	1	7.5	6.5
807.9601	7.3559e-02	9	4	2	7.5	8.5
790.3504	8.9585e-04	9	4	2	7.5	7.5
775.3182	3.8820e-02	9	4	2	7.5	6.5
808.7314	1.2338e-01	9	4	1	8.5	9.5
790.8203	4.0673e-03	9	4	1	8.5	8.5
775.4582	6.4908e-02	9	4	1	8.5	7.5
814.2135	1.8249e-02	9	4	2	8.5	9.5
794.4376	1.9676e-04	9	4	2	8.5	8.5
777.4062	9.1493e-03	9	4	2	8.5	7.5
814.9265	2.9680e-02	9	4	1	9.5	10.5
794.8899	7.5999e-04	9	4	1	9.5	9.5
777.5801	1.4800e-02	9	4	1	9.5	8.5
821.0229	3.8549e-03	9	4	2	9.5	10.5
799.0332	3.5694e-05	9	4	2	9.5	9.5
779.9791	1.8306e-03	9	4	2	9.5	8.5
821.6860	5.9773e-03	9	4	1	10.5	11.5
799.4679	1.1971e-04	9	4	1	10.5	10.5
780.1753	2.8251e-03	9	4	1	10.5	9.5
828.4142	6.7916e-04	9	4	2	10.5	11.5
804.1556	5.3547e-06	9	4	2	10.5	10.5
783.0485	3.0433e-04	9	4	2	10.5	9.5
829.0348	1.0208e-03	9	4	1	11.5	12.5
804.5735	1.7576e-05	9	4	1	11.5	11.5
783.2591	4.5563e-04	9	4	1	11.5	10.5
836.4164	1.0132e-04	9	4	2	11.5	12.5
809.8261	6.6307e-07	9	4	2	11.5	11.5
786.6287	4.2702e-05	9	4	2	11.5	10.5
837.0009	1.4829e-04	9	4	1	12.5	13.5
810.2284	2.1492e-06	9	4	1	12.5	12.5
786.8486	6.2326e-05	9	4	1	12.5	11.5
845.0624	1.2886e-05	9	4	2	12.5	13.5
816.0692	8.4110e-08	9	4	2	12.5	12.5
790.7373	5.1139e-06	9	4	2	12.5	11.5
845.6162	1.8412e-05	9	4	1	13.5	14.5
816.4575	2.1775e-07	9	4	1	13.5	13.5
790.9631	7.2825e-06	9	4	1	13.5	12.5
854.3892	1.4029e-06	9	4	2	13.5	14.5
822.9130	7.3260e-09	9	4	2	13.5	13.5
795.3950	5.2198e-07	9	4	2	13.5	12.5
854.9170	1.9656e-06	9	4	1	14.5	15.5
823.2889	2.0636e-08	9	4	1	14.5	14.5
795.6245	7.3001e-07	9	4	1	14.5	13.5
864.4384	1.3164e-07	9	4	2	14.5	15.5
830.3893	6.8834e-10	9	4	2	14.5	14.5
800.6258	4.5947e-08	9	4	2	14.5	13.5
830.7542	1.6657e-09	9	4	1	15.5	15.5
800.8575	6.3058e-08	9	4	1	15.5	14.5
838.5341	4.2092e-11	9	4	2	15.5	15.5
806.4572	3.4936e-09	9	4	2	15.5	14.5
