089.996  010.957  043.906  096.299  002.029  045.523
092.856  007.155  042.829  097.416  001.522  042.375
095.005  004.945  040.411  098.396  001.193  038.739
096.618  003.562  037.259  099.137  000.961  034.834
097.770  002.649  033.688  099.580  000.789  030.794
098.394  002.017  029.861  099.668  000.656  026.707
098.787  001.569  025.987  099.478  000.550  022.683
098.787  001.238  022.101  098.887  000.464  018.767
098.252  000.989  018.295  097.896  000.393  015.034
097.344  000.796  014.651  096.514  000.334  011.553
096.028  000.646  011.247  094.748  000.283  008.396
094.316  000.526  008.154  092.601  000.240  005.630


000.000  000.000  000.000  000.612  000.302  000.000
000.388  000.524  000.000  000.567  000.067  000.280
000.471  000.213  000.228  000.555  000.033  000.326
000.504  000.112  000.296  000.553  000.021  000.337
000.522  000.067  000.319  000.554  000.015  000.337
000.534  000.044  000.325  000.557  000.012  000.331
000.544  000.031  000.323  000.561  000.009  000.321
000.551  000.023  000.316  000.565  000.008  000.310
000.558  000.017  000.307  000.569  000.007  000.298
000.562  000.014  000.295  000.573  000.006  000.285
000.568  000.011  000.293  000.577  000.005  000.272
000.573  000.009  000.271  000.581  000.004  000.260
000.578  000.008  000.258  000.585  000.004  000.247
000.582  000.007  000.246  000.589  000.003  000.235
000.587  000.006  000.234  000.594  000.003  000.223
000.592  000.005  000.222  000.598  000.003  000.212


000.000  000.000  000.000  002.851  001.415  000.000
001.795  002.459  000.000  002.630  000.314  001.327
002.176  001.004  001.083  002.565  000.154  001.554
002.325  000.529  001.414  002.550  000.098  001.623
002.405  000.320  001.540  002.554  000.070  001.637
002.461  000.211  001.585  002.568  000.054  001.625
002.503  000.148  001.590  002.585  000.044  001.599
002.537  000.109  001.575  002.603  000.036  001.563
002.567  000.084  001.546  002.620  000.031  001.522
002.568  000.065  001.490  002.611  000.026  001.457
002.589  000.053  001.447  002.625  000.023  001.406
002.607  000.043  001.399  002.637  000.020  001.354
002.622  000.036  001.348  002.647  000.018  001.300
002.634  000.031  001.294  002.655  000.016  001.244
002.643  000.027  001.240  002.660  000.014  001.188
002.650  000.023  001.184  002.663  000.013  001.130


000.000  000.000  000.000  007.016  003.486  000.000
004.405  006.069  000.000  006.459  000.768  003.281
005.332  002.484  002.674  006.287  000.373  003.847
005.688  001.311  003.494  006.237  000.236  004.021
005.878  000.793  003.810  006.238  000.170  004.059
006.003  000.524  003.925  006.261  000.131  004.033
006.098  000.368  003.944  006.293  000.105  003.972
006.175  000.271  003.909  006.331  000.087  003.888
006.241  000.207  003.842  006.369  000.073  003.788
006.301  000.163  003.755  006.409  000.063  003.680
006.353  000.132  003.654  006.444  000.055  003.564
006.398  000.109  003.543  006.477  000.048  003.442
006.439  000.091  003.425  006.507  000.043  003.315
006.475  000.078  003.301  006.534  000.038  003.186
006.506  000.067  003.175  006.558  000.035  003.055
006.534  000.058  003.045  006.580  000.031  002.924


000.000  000.000  000.000  013.863  006.886  000.000
008.681  012.015  000.000  012.750  001.508  006.505
010.504  004.931  005.291  012.402  000.729  007.636
011.204  002.610  006.925  012.299  000.460  007.992
011.580  001.582  007.564  012.300  000.330  008.082
011.831  001.046  007.809  012.349  000.254  008.048
012.023  000.737  007.864  012.421  000.204  007.944
012.184  000.543  007.815  012.505  000.169  007.796
012.326  000.416  007.703  012.594  000.143  007.620
012.451  000.328  007.550  012.682  000.123  007.424
012.570  000.265  007.369  012.773  000.107  007.214
012.681  000.219  007.171  012.864  000.094  006.994
012.788  000.184  006.959  012.955  000.084  006.768
012.890  000.156  006.739  013.046  000.075  006.538
012.991  000.135  006.513  013.138  000.068  006.305
013.090  000.118  006.284  013.232  000.062  006.071


000.000  000.000  000.000  024.583  012.206  000.000
015.356  021.342  000.000  022.590  002.657  011.567
018.576  008.785  009.392  021.961  001.277  013.593
019.813  004.662  012.309  021.775  000.802  014.244
020.482  002.832  013.465  021.779  000.573  014.427
020.935  001.877  013.926  021.874  000.441  014.391
021.289  001.323  014.053  022.017  000.355  014.233
021.592  000.977  013.995  022.185  000.294  014.000
021.864  000.749  013.825  022.368  000.249  013.716
022.199  000.593  013.658  022.644  000.216  013.474
022.444  000.480  013.372  022.843  000.188  013.133
022.679  000.396  013.052  023.044  000.166  012.772
022.909  000.333  012.706  023.248  000.148  012.397
023.133  000.284  012.343  023.454  000.133  012.011
023.356  000.245  011.964  023.662  000.121  011.615
023.577  000.214  011.575  023.874  000.110  011.212


000.000  000.000  000.000  040.292  019.985  000.000
025.110  035.019  000.000  037.000  004.323  018.988
030.369  014.453  015.385  035.950  002.063  022.322
032.391  007.689  020.174  035.634  001.288  023.401
033.486  004.680  022.084  035.635  000.918  023.712
034.233  003.106  022.858  035.792  000.705  023.663
034.820  002.191  023.081  036.031  000.567  023.413
035.326  001.618  022.999  036.315  000.470  023.037
035.783  001.240  022.732  036.623  000.398  022.574
036.185  000.977  022.331  036.922  000.343  022.036
036.592  000.790  021.855  037.251  000.299  021.461
036.982  000.651  021.315  037.580  000.264  020.845
037.357  000.546  020.725  037.909  000.235  020.195
037.720  000.465  020.094  038.235  000.211  019.516
038.073  000.401  019.429  038.559  000.191  018.809
038.419  000.349  018.733  038.881  000.173  018.076


000.000  000.000  000.000  060.248  029.811  000.000
037.478  052.345  000.000  055.320  006.405  028.344
045.336  021.653  022.895  053.737  003.033  033.277
048.359  011.542  029.991  053.250  001.881  034.830
049.997  007.035  032.788  053.237  001.334  035.227
051.109  004.670  033.883  053.453  001.021  035.076
051.977  003.293  034.146  053.785  000.818  034.613
052.712  002.430  033.942  054.173  000.677  033.949
053.364  001.858  033.447  054.586  000.572  033.142
053.844  001.458  032.663  054.924  000.491  032.149
054.426  001.175  031.843  055.366  000.428  031.156
054.959  000.966  030.906  055.783  000.376  030.080
055.443  000.807  029.871  056.168  000.334  028.931
055.880  000.684  028.751  056.521  000.298  027.713
056.273  000.586  027.556  056.838  000.268  026.429
056.622  000.507  026.291  057.118  000.242  025.082


000.000  000.000  000.000  000.065  000.032  000.000
000.041  000.055  000.000  000.060  000.007  000.029
000.049  000.022  000.023  000.058  000.003  000.033
000.052  000.011  000.030  000.057  000.002  000.033
000.054  000.007  000.031  000.056  000.001  000.032
000.054  000.004  000.031  000.055  000.001  000.030
000.054  000.003  000.029  000.054  000.001  000.028
000.053  000.002  000.027  000.053  000.001  000.025
000.052  000.002  000.025  000.051  000.001  000.022
000.042  000.001  000.016  000.041  000.000  000.014
000.041  000.001  000.014  000.040  000.000  000.012
000.039  000.001  000.011  000.038  000.000  000.009
000.038  000.000  000.009  000.037  000.000  000.007
000.036  000.000  000.007  000.035  000.000  000.006
000.035  000.000  000.006  000.034  000.000  000.004
000.034  000.000  000.004  000.032  000.000  000.003


000.000  000.000  000.000  000.257  000.125  000.000
000.162  000.218  000.000  000.239  000.028  000.116
000.199  000.089  000.093  000.236  000.014  000.134
000.214  000.047  000.121  000.236  000.009  000.138
000.223  000.029  000.130  000.239  000.006  000.137
000.230  000.019  000.132  000.242  000.005  000.134
000.236  000.013  000.131  000.246  000.004  000.130
000.241  000.010  000.127  000.249  000.003  000.125
000.246  000.008  000.123  000.253  000.003  000.120
000.252  000.006  000.120  000.258  000.002  000.116
000.256  000.005  000.115  000.261  000.002  000.110
000.259  000.004  000.109  000.264  000.002  000.104
000.262  000.003  000.104  000.266  000.002  000.099
000.265  000.003  000.098  000.268  000.002  000.093
000.267  000.003  000.092  000.270  000.001  000.087
000.269  000.002  000.087  000.271  000.001  000.082


000.000  000.000  000.000  000.841  000.414  000.000
000.529  000.722  000.000  000.779  000.091  000.387
000.644  000.296  000.313  000.762  000.044  000.450
000.690  000.157  000.407  000.760  000.028  000.467
000.717  000.095  000.441  000.764  000.020  000.468
000.736  000.063  000.451  000.770  000.016  000.462
000.751  000.044  000.450  000.778  000.013  000.451
000.763  000.033  000.443  000.785  000.010  000.438
000.775  000.025  000.432  000.793  000.009  000.424
000.786  000.020  000.420  000.801  000.008  000.409
000.794  000.016  000.406  000.807  000.007  000.393
000.802  000.013  000.390  000.813  000.006  000.376
000.808  000.011  000.374  000.817  000.005  000.359
000.813  000.010  000.357  000.820  000.005  000.341
000.817  000.008  000.340  000.822  000.004  000.323
000.819  000.007  000.322  000.823  000.004  000.306


000.000  000.000  000.000  001.924  000.950  000.000
001.205  001.659  000.000  001.773  000.207  000.893
001.461  000.682  000.723  001.727  000.100  001.042
001.561  000.361  000.941  001.715  000.063  001.084
001.615  000.219  001.022  001.717  000.045  001.089
001.651  000.145  001.048  001.724  000.035  001.076
001.678  000.102  001.048  001.733  000.028  001.053
001.700  000.075  001.034  001.743  000.023  001.025
001.718  000.058  001.010  001.753  000.020  000.993
001.734  000.046  000.984  001.762  000.017  000.960
001.746  000.037  000.951  001.769  000.015  000.923
001.756  000.030  000.916  001.775  000.013  000.885
001.764  000.026  000.880  001.779  000.012  000.847
001.770  000.022  000.842  001.783  000.010  000.809
001.775  000.019  000.805  001.785  000.009  000.771
001.778  000.016  000.767  001.787  000.009  000.733


000.000  000.000  000.000  003.752  001.858  000.000
002.341  003.252  000.000  003.450  000.403  001.757
002.834  001.341  001.422  003.355  000.193  002.059
003.025  000.713  001.859  003.327  000.121  002.151
003.128  000.434  002.027  003.328  000.087  002.170
003.198  000.288  002.090  003.342  000.067  002.157
003.251  000.203  002.102  003.362  000.054  002.125
003.296  000.151  002.086  003.385  000.045  002.083
003.335  000.116  002.054  003.410  000.038  002.034
003.380  000.092  002.022  003.446  000.033  001.993
003.415  000.075  001.976  003.474  000.029  001.939
003.448  000.062  001.925  003.502  000.026  001.884
003.480  000.052  001.873  003.530  000.023  001.829
003.512  000.045  001.820  003.560  000.021  001.776
003.545  000.039  001.768  003.593  000.019  001.724
003.579  000.035  001.717  003.628  000.018  001.674


000.000  000.000  000.000  007.202  003.578  000.000
004.476  006.278  000.000  006.606  000.772  003.412
005.411  002.599  002.763  006.415  000.368  004.020
005.772  001.388  003.631  006.360  000.230  004.226
005.971  000.849  003.986  006.365  000.164  004.297
006.111  000.566  004.141  006.400  000.127  004.306
006.225  000.402  004.200  006.454  000.103  004.284
006.326  000.299  004.208  006.518  000.086  004.243
006.422  000.231  004.188  006.590  000.073  004.191
006.483  000.183  004.116  006.642  000.063  004.103
006.584  000.149  004.072  006.734  000.056  004.046
