21861.2121  22306.5748  21866.9083  22302.4761
22268.7308  22736.8923  22275.1731  22732.1383
22699.9017  23190.4652  22707.1263  23185.0152


00000.0000  21628.2079  00000.0000  21628.3097
21497.9482  21672.3187  21497.9763  21672.4941
21560.8224  21745.5385  21560.9278  21745.7381
21649.1743  21847.4418  21649.4172  21847.6050
21763.1878  21977.5477  21763.6315  21977.6106
21902.9729  22135.3655  21903.6790  22135.2658
22068.5484  22320.4112  22069.5746  22320.0903
22259.8425  22532.2082  22261.2422  22531.6117
22476.7003  22770.2802  22478.5220  22769.3581
22718.8922  23034.1432  22721.1806  23032.8493
22986.1228  23323.2981  22988.9188  23321.5895
23278.0372  23637.2248  23281.3786  23635.0615
23594.2264  23975.3786  23598.1485  23972.7227
23934.2317  24337.1872  23938.7677  24334.0024
24297.5476  24722.0493  24302.7296  24718.2998
24683.6251  25129.3338  24689.4849  25124.9838
25091.8738  25558.3799  25098.4439  25553.3920


00000.0000  24042.1684  00000.0000  24042.2583
23911.5704  24083.7805  23911.5949  24083.9357
23971.2692  24152.8724  23971.3614  24153.0492
24055.1031  24249.0615  24055.3167  24249.2059
24163.2136  24371.9050  24163.6054  24371.9593
24295.6772  24520.9381  24296.3028  24520.8458
24452.4887  24695.6924  24453.4003  24695.4002
24633.5587  24895.6973  24634.8039  24895.1561
24838.7181  25120.4762  24840.3401  25119.6412
25067.7254  25369.5396  25069.7630  25368.3699
25320.2730  25642.3788  25322.7610  25640.8373
25595.9932  25938.4608  25598.9629  25936.5135
25894.4623  26257.2242  25897.9420  26254.8396
26215.2046  26598.0769  26219.2201  26595.2254
26557.6947  26960.3935  26562.2701  26957.0469
26921.3603  27343.5153  26926.5189  27339.6454
27305.5838  27746.7487  27311.3488  27742.3268


00000.0000  26278.2933  00000.0000  26278.3676
26147.5341  26317.3126  26147.5547  26317.4404
26203.8957  26382.1120  26203.9735  26382.2564
26282.9875  26472.3466  26283.1686  26472.4610
26384.9063  26587.6060  26385.2405  26587.6403
26509.6913  26727.4483  26510.2276  26727.3525
26657.3074  26891.4163  26658.0922  26891.1431
26827.6411  27079.0425  26828.7171  27078.5480
27020.5034  27289.8463  27021.9094  27289.0902
27235.6345  27523.3299  27237.4057  27522.2755
27472.7099  27778.9727  27474.8776  27777.5864
27731.3447  28056.2277  27733.9375  28054.4786
28011.0981  28354.5179  28014.1419  28352.3773
28311.4766  28673.2343  28314.9956  28670.6749
28631.9371  29011.7342  28635.9539  29008.7293
28971.8886  29369.3404  28976.4258  29365.8632
29330.6949  29745.3415  29335.7758  29741.3638










